hidden_layer_sizes,alpha,learning_rate_init,max_iter,early_stopping,train_time,accuracy,precision,recall,f1_score,roc_auc,true_positive,false_positive,false_negative,true_negative
"[32, 16]",0.0001,0.001,300,True,0.019932031631469727,0.25,0.1,1.0,0.18181818181818182,0.75,2,18,0,4
"[32, 16]",0.0001,0.001,500,True,0.012587785720825195,0.25,0.1,1.0,0.18181818181818182,0.75,2,18,0,4
"[32, 16]",0.0001,0.0005,300,True,0.013433456420898438,0.20833333333333334,0.09523809523809523,1.0,0.17391304347826086,0.7045454545454546,2,19,0,3
"[32, 16]",0.0001,0.0005,500,True,0.01434326171875,0.20833333333333334,0.09523809523809523,1.0,0.17391304347826086,0.7045454545454546,2,19,0,3
"[32, 16]",1e-05,0.001,300,True,0.013921499252319336,0.25,0.1,1.0,0.18181818181818182,0.75,2,18,0,4
"[32, 16]",1e-05,0.001,500,True,0.01640796661376953,0.25,0.1,1.0,0.18181818181818182,0.75,2,18,0,4
"[32, 16]",1e-05,0.0005,300,True,0.019614219665527344,0.20833333333333334,0.09523809523809523,1.0,0.17391304347826086,0.7045454545454546,2,19,0,3
"[32, 16]",1e-05,0.0005,500,True,0.016280651092529297,0.20833333333333334,0.09523809523809523,1.0,0.17391304347826086,0.7045454545454546,2,19,0,3
"[64, 32]",0.0001,0.001,300,True,0.029429197311401367,0.9166666666666666,0.5,1.0,0.6666666666666666,1.0,2,2,0,20
"[64, 32]",0.0001,0.001,500,True,0.02901434898376465,0.9166666666666666,0.5,1.0,0.6666666666666666,1.0,2,2,0,20
"[64, 32]",0.0001,0.0005,300,True,0.015067100524902344,0.5416666666666666,0.15384615384615385,1.0,0.26666666666666666,0.7727272727272728,2,11,0,11
"[64, 32]",0.0001,0.0005,500,True,0.014834880828857422,0.5416666666666666,0.15384615384615385,1.0,0.26666666666666666,0.7727272727272728,2,11,0,11
"[64, 32]",1e-05,0.001,300,True,0.02324700355529785,0.9166666666666666,0.5,1.0,0.6666666666666666,1.0,2,2,0,20
"[64, 32]",1e-05,0.001,500,True,0.022269725799560547,0.9166666666666666,0.5,1.0,0.6666666666666666,1.0,2,2,0,20
"[64, 32]",1e-05,0.0005,300,True,0.012787103652954102,0.5416666666666666,0.15384615384615385,1.0,0.26666666666666666,0.7727272727272728,2,11,0,11
"[64, 32]",1e-05,0.0005,500,True,0.01242208480834961,0.5416666666666666,0.15384615384615385,1.0,0.26666666666666666,0.7727272727272728,2,11,0,11
"[16, 8]",0.0001,0.001,300,True,0.00816202163696289,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",0.0001,0.001,500,True,0.008228302001953125,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",0.0001,0.0005,300,True,0.008570671081542969,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",0.0001,0.0005,500,True,0.008260965347290039,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",1e-05,0.001,300,True,0.008126020431518555,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",1e-05,0.001,500,True,0.008350372314453125,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",1e-05,0.0005,300,True,0.008316993713378906,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
"[16, 8]",1e-05,0.0005,500,True,0.008194446563720703,0.7083333333333334,0.0,0.0,0.0,0.3863636363636364,0,5,2,17
